name,city,state,country,position,Latitude,Longitude,type,designation,images,website,description,radius
Hortobágy National Park,Borsod-Abaúj-Zemplén County,,Hungary,"[ 21.1, 47.6]",47.6,21.1,Park,2011,{},https://www.hnp.hu/en/szervezeti-egyseg/tourism/oldal/world-heritage-site-and-also-an-international-dark-sky-park,,50000
Hovenweep National Monument,,"Colorado, Utah",United States,"[ -109.077222, 37.383889 ]",37.383889,-109.077222,Park,2014,{},https://www.nps.gov/hove/planyourvisit/stargazing.htm,,50000
Iriomote-Ishigaki National Park,Yaeyama Islands,Okinawa Prefecture,Japan,"[ 123.883333, 24.316667]",24.316667,123.883333,Park,2018,{},http://www.env.go.jp/en/nature/nps/park/iriomote/index.html,,50000
James River State Park,Buckingham County,Virginia,United States,"[-78.53,  37.57]",37.57,-78.53,Park,2019,{},https://www.dcr.virginia.gov/state-parks/james-river#general_information,,50000
Joshua Tree National Park,Riverside County,California,United States,"[-115.9,  33.79]",33.79,-115.9,Park,2017,{},https://www.nps.gov/jotr/planyourvisit/stargazing.htm,,50000
Kartchner Caverns State Park,Benson,Arizona,United States,"[ -110.347222, 31.8375]",31.8375,-110.347222,Park,2017,{},https://azstateparks.com/kartchner/dark-skies/about-dark-skies,,50000
Kissimmee Prairie Preserve State Park,Okeechobee County,Florida,United States,"[ -81.083056, 27.616944]",27.616944,-81.083056,Park,2016,{},https://www.floridastateparks.org/learn/dark-sky-designation,,50000
Lauwersmeer National Park,,Friesland/Groningen,Netherlands,"[ 6.2, 53.364 ]",53.364,6.2,Park,2016,{},https://www.np-lauwersmeer.nl/het-lauwersmeer/dark-sky-park/,,50000
Mayland Earth to Sky Park & Bare Dark Sky Observatory,"Yancey County,",North Carolina,United States,"[-82.184167, 36.2514 ]",36.2514,-82.184167,Park,2014,{},https://www.yanceychamber.com/bare-dark-sky-observatory/,,50000
Middle Fork River Forest Preserve,Champaign County,Illinois,United States,"[-88.3072863, 40.1024996 ]",40.1024996,-88.3072863,Park,2018,{},https://www.ccfpd.org/forest-preserve/middle-fork-river-champaign-county,,50000
Natural Bridges National Monument,San Juan County,Utah,United States,"[ -110.013744, 37.601383 ]",37.601383,-110.013744,Park,2007,{},https://www.nps.gov/nabr/learn/nature/darkskypark.htm,,50000
Newport State Park,Door,Wisconsin,United States,"[-86.994167,  45.235]",45.235,-86.994167,Park,2017,{},https://dnr.wi.gov/topic/parks/name/newport/,,50000
Northumberland National Park ,,Northumberland,England,"[ -2.216667, 55.316667 ]",55.316667,-2.216667,Park,2013,{},https://www.northumberlandnationalpark.org.uk/things-to-do/discover-dark-skies/,,50000
Kielder Water & Forest Park,,Northumberland,England,"[ -2.528, 55.208]",55.208,-2.528,Park,2013,{},http://www.visitkielder.com/play/discover/dark-skies,,50000
Obed Wild and Scenic River,Cumberland County,Tennessee,United States,"[ -84.649444, 36.075278]",36.075278,-84.649444,Park,2017,{},https://www.nps.gov/obed/learn/news/obed-wsr-recognized-as-international-dark-sky-place.htm,,50000
Oracle State Park,Pinal County,Arizona,United States,"[ -110.733056, 32.607778 ]",32.607778,-110.733056,Park,2014,{},https://azstateparks.com/oracle/dark-skies/about-dark-skies,,50000
Petrified Forest National Park,Navajo County,Arizona,United States,"[-109.806389, 35.088056 ]",35.088056,-109.806389,Park,2018,{},https://www.nps.gov/pefo/index.htm,,50000
Petrova gora-Biljeg,,Kordun,Croatia,"[15.806389,  45.241667]",45.241667,15.806389,Park,2019,{},http://www.naturaviva.hr/Karlovac_media/Brosura_Petrova_gora.pdf,,50000
Pickett CCC Memorial State Park & Pogue Creek Canyon State Natural Area,Pickett County,Tennessee,United States,"[ -84.79703, 36.55157 ]",36.55157,-84.79703,Park,2015,{},https://tnstateparks.com/activities/dark-sky-viewing,,50000
Makhtesh Ramon,Negev,,Israel,"[ 34.817778, 30.578611]",30.578611,34.817778,Park,2017,{},https://www.parks.org.il/en/,,50000
Rappahannock County Park,Rappahannock County,Virginia,United States,"[ -78.17, 38.69 ]",38.69,-78.17,Park,2019,{},https://rappahannockcountypark.weebly.com/dark-skies-park.html,,50000
Salinas Pueblo Missions National Monument,Torrance County,New Mexico,United States,"[-106.090278, 34.259722 ]",34.259722,-106.090278,Park,2016,{},https://www.nps.gov/sapu/planyourvisit/stargazing.htm,,50000
South Llano River State Park,Junction,Texas,United States,"[-99.804102, 30.445396 ]",30.445396,-99.804102,Park ,2017,{},https://tpwd.texas.gov/state-parks/south-llano-river/dark-skies,,50000
Staunton River State Park,Halifax,Virginia,United States,"[ -78.685278, 36.696056]",36.696056,-78.685278,Park,2015,{},https://www.dcr.virginia.gov/state-parks/staunton-river,,50000
Steinaker State Park,Uintah County,Utah,United States,"[-109.530278,  40.5175]",40.5175,-109.530278,Park,2018,{},https://stateparks.utah.gov/parks/steinaker/,,50000
Stephen C. Foster State Park,Charlton County,Georgia,United States,"[ -82.36419, 30.82371]",30.82371,-82.36419,Park,2016,{},https://gastateparks.org/StephenCFoster,,50000
Tomintoul and Glenlivet - Cairngorms,,Cairngorms,Scotland,"[-3.666667,  57.083333]",57.083333,-3.666667,Park,2018,{},https://darkskies.glenlivet-cairngorms.co.uk/,,50000
Tonto National Monument,Gila County,Arizona,United States,"[-111.094444, 33.656944 ]",33.656944,-111.094444,Park,2019,{},https://www.nps.gov/tont/index.htm,,50000
Tumacácori National Historical Park,Santa Cruz County,Arizona,United States,"[-111.050646, 31.568147 ]",31.568147,-111.050646,Park,2018,{},https://www.nps.gov/tuma/index.htm,,50000
UBarU Camp and Retreat Center,Gillespie County,Texas,United States,"[-99.274383, 30.188454 ]",30.188454,-99.274383,Park,2015,{},https://ubaru.org/home,,50000
Vrani kamen,,Bjelovar-Bilogora,Croatia,"[ 17.223685, 45.592895 ]",45.592895,17.223685,Park,2019,{},http://www.visitdaruvar.hr/en/vrani-kamen-international-dark-sky-park.aspx,,50000
Warrumbungle National Park,Coonabarabran,New South Wales,Australia,"[ 149.0009, -31.3083 ]",-31.3083,149.0009,Park,2016,{},https://www.nationalparks.nsw.gov.au/conservation-and-heritage/our-parks/dark-sky-parks,,50000
Glacier International Peace Park ,,Montana,United States,"[ -113.718333, 48.696667]",48.696667,-113.718333,Park,2017,{},https://www.nps.gov/glac/planyourvisit/index.htm,,50000
Waterton Lakes National Park,,Alberta,Canada,"[-113.915278,  49.045833]",49.045833,-113.915278,Park,2017,{},https://www.pc.gc.ca/en/pn-np/ab/waterton/activ/experiences/etoile-star,,50000
Weber County North Fork Park,Weber County,Utah,United States,"[-111.9073,  41.371]",41.371,-111.9073,Park,2015,{},http://www.webercountyutah.gov/Parks/North_Fork_Park/,,50000
Winklmoos-Alm,Seegatterl,,Germany,"[ 12.5799, 47.6576]",47.6576,12.5799,Park,2018,{},https://www.abenteuer-sterne.de/sternenpark-winklmoosalm/,,50000
Yeongyang Firefly Eco Park,Yeongyang-gun,Gyeongsangbuk-do,South Korea,"[ 129.27, 36.83 ]",36.83,129.27,Park,2015,{},http://www.yyg.go.kr/np,,50000
Zselic National Landscape Protection Area,Kaposvár,,Hungary,"[ 17.757789, 46.228349 ]",46.228349,17.757789,Park,2009,{},http://zselicicsillagpark.hu/en.php,,50000
Aoraki Mackenzie,,South Island,New Zealand,"[ 170.142139, -43.595056 ]",-43.595056,170.142139,Reserve,2012,{},https://mackenzienz.com/scenic-highlights/dark-sky-reserve/,,50000
Brecon Beacons National Park,,,Wales,"[ -3.433333, 51.883333 ]",51.883333,-3.433333,Reserve,2013,{},https://www.breconbeaconsparksociety.org/brecon-beacons-international-dark-sky-reserve/,,50000
Central Idaho,Blaine County,Idaho,United States,"[ -113.98 , 43.39]",43.39,-113.98,Reserve,2017,{},https://idahodarksky.org/,,50000
Cévennes National Park,,Cévennes,France,"[ 3.581389, 44.193889 ]",44.193889,3.581389,Reserve,2018,{},https://www.cevennes-parcnational.fr/fr,,50000
